idx,type,n_craters,r_s,noise,ellipticity,alpha
1283,multi,3,-1,0.053,-1,-1
1284,multi,3,-1,0.055,-1,-1
1285,multi,3,-1,0.048,-1,-1
1286,multi,2,-1,0.045,-1,-1
1287,multi,3,-1,0.02,-1,-1
1288,multi,2,-1,0.039,-1,-1
1289,multi,3,-1,0.039,-1,-1
1290,multi,3,-1,0.042,-1,-1
1291,multi,2,-1,0.053,-1,-1
1292,multi,2,-1,0.042,-1,-1
1293,multi,2,-1,0.059,-1,-1
1294,multi,3,-1,0.042,-1,-1
1295,multi,2,-1,0.036,-1,-1
1296,multi,3,-1,0.046,-1,-1
1297,multi,3,-1,0.027,-1,-1
1298,multi,3,-1,0.055,-1,-1
1299,multi,3,-1,0.042,-1,-1
1300,multi,2,-1,0.024,-1,-1
1301,multi,3,-1,0.046,-1,-1
1302,multi,3,-1,0.026,-1,-1
1303,multi,2,-1,0.046,-1,-1
1304,multi,3,-1,0.045,-1,-1
1305,multi,3,-1,0.024,-1,-1
1306,multi,2,-1,0.056,-1,-1
1307,multi,3,-1,0.048,-1,-1
1308,multi,2,-1,0.046,-1,-1
1309,multi,3,-1,0.035,-1,-1
1310,multi,3,-1,0.045,-1,-1
1311,multi,2,-1,0.026,-1,-1
1312,multi,3,-1,0.056,-1,-1
1313,multi,2,-1,0.026,-1,-1
1314,multi,2,-1,0.031,-1,-1
1315,multi,2,-1,0.039,-1,-1
1316,multi,2,-1,0.047,-1,-1
1317,multi,3,-1,0.046,-1,-1
1318,multi,3,-1,0.059,-1,-1
1319,multi,3,-1,0.022,-1,-1
1320,multi,3,-1,0.035,-1,-1
1321,multi,3,-1,0.03,-1,-1
1322,multi,2,-1,0.059,-1,-1
1323,multi,2,-1,0.057,-1,-1
1324,multi,3,-1,0.058,-1,-1
1325,multi,3,-1,0.045,-1,-1
1326,multi,3,-1,0.025,-1,-1
1327,multi,3,-1,0.024,-1,-1
1328,multi,3,-1,0.037,-1,-1
1329,multi,3,-1,0.051,-1,-1
1330,multi,3,-1,0.028,-1,-1
1331,multi,2,-1,0.052,-1,-1
1332,multi,2,-1,0.046,-1,-1
1333,multi,3,-1,0.043,-1,-1
1334,multi,3,-1,0.058,-1,-1
1335,multi,3,-1,0.057,-1,-1
1336,multi,2,-1,0.058,-1,-1
1337,multi,3,-1,0.059,-1,-1
1338,multi,3,-1,0.02,-1,-1
1339,multi,2,-1,0.052,-1,-1
1340,multi,3,-1,0.033,-1,-1
1341,multi,3,-1,0.055,-1,-1
1342,multi,2,-1,0.025,-1,-1
1343,multi,3,-1,0.044,-1,-1
1344,multi,2,-1,0.024,-1,-1
1345,multi,2,-1,0.037,-1,-1
1346,multi,2,-1,0.03,-1,-1
1347,multi,2,-1,0.049,-1,-1
1348,multi,3,-1,0.026,-1,-1
1349,multi,3,-1,0.033,-1,-1
1350,multi,2,-1,0.038,-1,-1
1351,multi,2,-1,0.032,-1,-1
1352,multi,2,-1,0.045,-1,-1
1353,multi,3,-1,0.059,-1,-1
1354,multi,2,-1,0.037,-1,-1
1355,multi,2,-1,0.056,-1,-1
1356,multi,2,-1,0.023,-1,-1
1357,multi,2,-1,0.041,-1,-1
1358,multi,2,-1,0.027,-1,-1
1359,multi,3,-1,0.044,-1,-1
1360,multi,3,-1,0.028,-1,-1
1361,multi,2,-1,0.06,-1,-1
1362,multi,2,-1,0.03,-1,-1
1363,multi,2,-1,0.044,-1,-1
1364,multi,3,-1,0.052,-1,-1
1365,multi,3,-1,0.059,-1,-1
1366,multi,3,-1,0.04,-1,-1
1367,multi,2,-1,0.047,-1,-1
1368,multi,3,-1,0.033,-1,-1
1369,multi,3,-1,0.054,-1,-1
1370,multi,3,-1,0.03,-1,-1
1371,multi,2,-1,0.056,-1,-1
1372,multi,3,-1,0.058,-1,-1
1373,multi,3,-1,0.052,-1,-1
1374,multi,2,-1,0.048,-1,-1
1375,multi,2,-1,0.025,-1,-1
1376,multi,3,-1,0.041,-1,-1
1377,multi,2,-1,0.037,-1,-1
1378,multi,3,-1,0.059,-1,-1
1379,multi,3,-1,0.06,-1,-1
1380,multi,2,-1,0.028,-1,-1
1381,multi,3,-1,0.026,-1,-1
1382,multi,3,-1,0.058,-1,-1
1383,multi,3,-1,0.058,-1,-1
1384,multi,3,-1,0.022,-1,-1
1385,multi,3,-1,0.055,-1,-1
1386,multi,2,-1,0.049,-1,-1
1387,multi,3,-1,0.043,-1,-1
1388,multi,2,-1,0.053,-1,-1
1389,multi,3,-1,0.039,-1,-1
1390,multi,2,-1,0.02,-1,-1
1391,multi,3,-1,0.028,-1,-1
1392,multi,3,-1,0.022,-1,-1
1393,multi,3,-1,0.04,-1,-1
1394,multi,3,-1,0.026,-1,-1
1395,multi,3,-1,0.054,-1,-1
1396,multi,2,-1,0.04,-1,-1
1397,multi,3,-1,0.05,-1,-1
1398,multi,2,-1,0.052,-1,-1
1399,multi,3,-1,0.027,-1,-1
1400,multi,3,-1,0.03,-1,-1
1401,multi,3,-1,0.038,-1,-1
1402,multi,2,-1,0.03,-1,-1
1403,multi,3,-1,0.037,-1,-1
1404,multi,3,-1,0.047,-1,-1
1405,multi,2,-1,0.059,-1,-1
1406,multi,2,-1,0.053,-1,-1
1407,multi,2,-1,0.03,-1,-1
1408,multi,2,-1,0.036,-1,-1
1409,multi,3,-1,0.052,-1,-1
1410,multi,3,-1,0.05,-1,-1
1411,multi,3,-1,0.026,-1,-1
1412,multi,2,-1,0.049,-1,-1
1413,multi,3,-1,0.047,-1,-1
1414,multi,2,-1,0.037,-1,-1
1415,multi,2,-1,0.039,-1,-1
1416,multi,3,-1,0.058,-1,-1
1417,multi,3,-1,0.051,-1,-1
1418,multi,3,-1,0.055,-1,-1
1419,multi,3,-1,0.027,-1,-1
1420,multi,3,-1,0.033,-1,-1
1421,multi,3,-1,0.052,-1,-1
1422,multi,2,-1,0.05,-1,-1
1423,multi,3,-1,0.044,-1,-1
1424,multi,3,-1,0.03,-1,-1
1425,multi,2,-1,0.06,-1,-1
1426,multi,3,-1,0.047,-1,-1
1427,multi,2,-1,0.036,-1,-1
1428,multi,3,-1,0.049,-1,-1
1429,multi,2,-1,0.02,-1,-1
1430,multi,2,-1,0.032,-1,-1
1431,multi,2,-1,0.049,-1,-1
1432,multi,2,-1,0.035,-1,-1
1433,multi,2,-1,0.025,-1,-1
1434,multi,3,-1,0.031,-1,-1
1435,multi,2,-1,0.054,-1,-1
1436,multi,3,-1,0.035,-1,-1
1437,multi,3,-1,0.032,-1,-1
1438,multi,3,-1,0.032,-1,-1
1439,multi,3,-1,0.059,-1,-1
1440,multi,3,-1,0.025,-1,-1
1441,multi,2,-1,0.02,-1,-1
1442,multi,3,-1,0.039,-1,-1
1443,multi,2,-1,0.039,-1,-1
1444,multi,3,-1,0.025,-1,-1
1445,multi,3,-1,0.032,-1,-1
1446,multi,3,-1,0.058,-1,-1
1447,multi,2,-1,0.033,-1,-1
1448,multi,3,-1,0.056,-1,-1
1449,multi,2,-1,0.051,-1,-1
1450,multi,2,-1,0.027,-1,-1
1451,multi,3,-1,0.056,-1,-1
1452,multi,2,-1,0.048,-1,-1
1453,multi,3,-1,0.026,-1,-1
1454,multi,3,-1,0.034,-1,-1
1455,multi,2,-1,0.052,-1,-1
1456,multi,3,-1,0.032,-1,-1
1457,multi,2,-1,0.046,-1,-1
1458,multi,2,-1,0.044,-1,-1
1459,multi,2,-1,0.023,-1,-1
1460,multi,3,-1,0.028,-1,-1
1461,multi,2,-1,0.06,-1,-1
1462,multi,2,-1,0.037,-1,-1
1463,multi,3,-1,0.049,-1,-1
1464,multi,3,-1,0.047,-1,-1
1465,multi,3,-1,0.052,-1,-1
1466,multi,3,-1,0.044,-1,-1
1467,multi,2,-1,0.03,-1,-1
1468,multi,3,-1,0.051,-1,-1
1469,multi,2,-1,0.028,-1,-1
1470,multi,3,-1,0.057,-1,-1
1471,multi,2,-1,0.032,-1,-1
1472,multi,3,-1,0.042,-1,-1
1473,multi,2,-1,0.037,-1,-1
1474,multi,2,-1,0.033,-1,-1
1475,multi,3,-1,0.045,-1,-1
1476,multi,3,-1,0.057,-1,-1
1477,multi,2,-1,0.054,-1,-1
1478,multi,2,-1,0.039,-1,-1
1479,multi,3,-1,0.032,-1,-1
1480,multi,2,-1,0.046,-1,-1
1481,multi,3,-1,0.048,-1,-1
1482,multi,3,-1,0.057,-1,-1
1483,multi,3,-1,0.037,-1,-1
1484,multi,2,-1,0.057,-1,-1
1485,multi,3,-1,0.047,-1,-1
1486,multi,2,-1,0.039,-1,-1
1487,multi,3,-1,0.042,-1,-1
1488,multi,2,-1,0.056,-1,-1
1489,multi,2,-1,0.059,-1,-1
1490,multi,2,-1,0.06,-1,-1
1491,multi,2,-1,0.029,-1,-1
1492,multi,3,-1,0.023,-1,-1
1493,multi,2,-1,0.051,-1,-1
1494,multi,3,-1,0.046,-1,-1
1495,multi,3,-1,0.023,-1,-1
1496,multi,2,-1,0.029,-1,-1
1497,multi,2,-1,0.042,-1,-1
1498,multi,3,-1,0.058,-1,-1
1499,multi,2,-1,0.05,-1,-1
